date,b0,b1,b2,b3,t1,t2
2020-07-22,0.27668,-0.67741,-2.05442,-1.05451,3.35694,0.0971
2020-07-23,0.25258,-0.64561,-2.06778,-0.93563,3.34271,0.11935
2020-07-24,0.26545,-0.68503,-1.92398,-0.91544,3.49757,0.10921
2020-07-27,0.25315,-0.62002,-1.98207,-1.04919,3.35699,0.11923
2020-07-28,0.21619,-0.60557,-1.99045,-0.96081,3.33701,0.11227
2020-07-29,0.21628,-0.62533,-2.02293,-0.93302,3.35589,0.10516
2020-07-30,0.19121,-0.63253,-1.98049,-0.9365,3.40197,0.08782
2020-07-31,0.17584,-0.63181,-2.00879,-0.7662,3.37615,0.10388
2020-08-03,0.21167,-0.6558,-2.01951,-0.82741,3.3151,0.09399
2020-08-04,0.18451,-0.60211,-2.05507,-0.93177,3.25747,0.09756
2020-08-05,0.17844,-0.6002,-2.03466,-0.98946,3.31911,0.08943
2020-08-06,0.20762,-0.64937,-1.98659,-0.82941,3.40544,0.10043
2020-08-07,0.18555,-0.58631,-2.0604,-0.89629,3.29953,0.11255
2020-08-10,0.20312,-0.60705,-2.04698,-0.86965,3.26874,0.10627
2020-08-11,0.24336,-0.70988,-2.00535,-0.76812,3.42239,0.08034
2020-08-12,0.30405,-0.73514,-2.01355,-0.85478,3.32901,0.08672
2020-08-13,0.31153,-0.76598,-1.97271,-0.72668,3.48689,0.08723
2020-08-14,0.33133,-0.76839,-1.94458,-0.82117,3.30943,0.07696
2020-08-17,0.34656,-0.79925,-1.97273,-0.86663,3.36594,0.07055
2020-08-18,0.3071,-0.76435,-1.99722,-1.90319,3.40719,0.02907
2020-08-19,0.2973,-0.74997,-2.02094,-0.96184,3.47136,0.06452
2020-08-20,0.26856,-0.71496,-1.98639,-0.81676,3.40089,0.08312
2020-08-21,0.23859,-0.66153,-2.08108,-0.87902,3.32272,0.08807
2020-08-24,0.28924,-0.74298,-1.99773,-0.72376,3.51376,0.09477
2020-08-25,0.41136,-0.60344,-2.4921,-1.08307,3.69934,0.29186
2020-08-26,0.34389,-1.01275,1.54533,-3.65789,1.68861,2.65238
2020-08-27,0.28058,-0.94593,3.48327,-5.44877,1.86603,2.39425
2020-08-28,0.40315,-1.05811,4.81867,-6.91503,1.92463,2.33603
2020-08-31,0.40751,-1.07332,5.44439,-7.51018,1.94677,2.3223
2020-09-01,0.4011,-1.07082,6.41258,-8.43568,1.98323,2.30576
2020-09-02,0.31219,-0.9987,0.12807,-2.84099,0.94239,2.78779
2020-09-03,0.31156,-1.00479,0.03452,-2.87005,0.88453,2.83039
2020-09-04,0.26199,-0.95487,0.13945,-2.76546,0.97075,2.81535
2020-09-07,0.29537,-0.98558,0.01573,-2.80045,0.8772,2.83266
